instancia,n,grafo,threads,fusiones,tiempo
21460,26,completo,21,6,0.560574
21461,26,completo,22,6,0.606947
21462,26,completo,23,5,0.721217
21463,26,completo,24,6,0.688232
21464,26,completo,25,6,0.65775
21465,26,completo,26,6,1.06289
21466,26,completo,27,5,0.841445
21467,26,completo,28,6,0.718893
21468,26,completo,29,7,0.863336
21469,26,completo,30,5,0.930042
21470,26,completo,31,6,0.811715
21471,26,completo,32,7,0.832014
21472,26,completo,33,5,0.926821
21473,26,completo,34,5,1.07386
21474,26,completo,35,5,1.14793
21475,26,completo,36,6,1.03632
21476,26,completo,37,6,1.05067
21477,26,completo,38,5,1.04085
21478,26,completo,39,5,1.15953
21479,26,completo,40,6,0.975665
21480,26,completo,1,0,0.158514
21481,26,completo,2,2,0.172804
21482,26,completo,3,6,0.344964
21483,26,completo,4,6,0.344832
21484,26,completo,5,6,0.325283
21485,26,completo,6,6,0.355409
21486,26,completo,7,7,0.423811
21487,26,completo,8,7,0.395698
21488,26,completo,9,6,0.402517
21489,26,completo,10,7,0.403994
21490,26,completo,11,7,0.423649
21491,26,completo,12,5,0.426058
21492,26,completo,13,7,0.413666
21493,26,completo,14,6,0.403579
21494,26,completo,15,3,0.395022
21495,26,completo,16,6,0.431737
21496,26,completo,17,3,0.458849
21497,26,completo,18,7,0.505833
21498,26,completo,19,7,0.69075
21499,26,completo,20,6,10.7672
21500,26,completo,21,6,0.642254
21501,26,completo,22,6,0.601844
21502,26,completo,23,6,0.65311
21503,26,completo,24,3,0.653283
21504,26,completo,25,6,0.680658
21505,26,completo,26,5,0.776545
21506,26,completo,27,6,0.647195
21507,26,completo,28,7,0.736371
21508,26,completo,29,7,0.864508
21509,26,completo,30,6,0.907237
21510,26,completo,31,6,0.892838
21511,26,completo,32,6,1.32878
21512,26,completo,33,7,1.03047
21513,26,completo,34,6,1.00091
21514,26,completo,35,6,0.952812
21515,26,completo,36,5,1.13807
21516,26,completo,37,6,1.02743
21517,26,completo,38,6,1.00471
21518,26,completo,39,5,0.97436
21519,26,completo,40,5,1.32765
21520,26,completo,1,0,0.094546
21521,26,completo,2,3,0.192522
21522,26,completo,3,3,0.217194
21523,26,completo,4,3,0.224976
21524,26,completo,5,5,8.4285
21525,26,completo,6,6,0.310376
21526,26,completo,7,6,0.331683
21527,26,completo,8,6,0.314415
21528,26,completo,9,7,0.324026
21529,26,completo,10,7,0.369742
21530,26,completo,11,3,0.316911
21531,26,completo,12,5,0.356091
21532,26,completo,13,6,0.50497
21533,26,completo,14,7,0.405506
21534,26,completo,15,6,0.3908
21535,26,completo,16,7,0.683331
21536,26,completo,17,6,0.476206
21537,26,completo,18,3,0.527093
21538,26,completo,19,7,0.572771
21539,26,completo,20,7,0.590683
21540,26,completo,21,5,0.680019
21541,26,completo,22,5,0.699566
21542,26,completo,23,6,0.737213
21543,26,completo,24,6,10.8178
21544,26,completo,25,6,0.685242
21545,26,completo,26,5,0.795643
21546,26,completo,27,5,0.790831
21547,26,completo,28,6,0.810642
21548,26,completo,29,6,0.903131
21549,26,completo,30,6,0.911353
21550,26,completo,31,5,0.938172
21551,26,completo,32,6,0.789251
21552,26,completo,33,7,0.933505
21553,26,completo,34,6,0.85626
21554,26,completo,35,3,0.963482
21555,26,completo,36,5,0.966344
21556,26,completo,37,7,1.09937
21557,26,completo,38,3,1.04425
21558,26,completo,39,6,1.12617
21559,26,completo,40,5,1.24896
21560,26,completo,1,0,0.093676
21561,26,completo,2,3,0.192541
21562,26,completo,3,6,0.287643
21563,26,completo,4,5,0.298437
21564,26,completo,5,5,0.258846
21565,26,completo,6,6,0.353102
21566,26,completo,7,6,0.319349
21567,26,completo,8,6,0.313166
21568,26,completo,9,5,4.06799
21569,26,completo,10,5,0.334422
21570,26,completo,11,5,0.341992
21571,26,completo,12,5,0.36301
21572,26,completo,13,6,0.47455
21573,26,completo,14,6,0.531503
21574,26,completo,15,7,0.644134
21575,26,completo,16,3,0.450805
21576,26,completo,17,7,0.477344
21577,26,completo,18,6,0.578567
21578,26,completo,19,6,0.665291
21579,26,completo,20,6,20.7946
21580,26,completo,21,6,0.658559
21581,26,completo,22,6,0.676745
21582,26,completo,23,6,0.713553
21583,26,completo,24,5,0.899821
21584,26,completo,25,5,0.80707
21585,26,completo,26,6,0.779123
21586,26,completo,27,6,0.800612
21587,26,completo,28,6,0.82752
21588,26,completo,29,6,0.775878
21589,26,completo,30,5,0.883144
21590,26,completo,31,7,0.910414
21591,26,completo,32,5,1.08623
21592,26,completo,33,6,1.03238
21593,26,completo,34,3,0.92055
21594,26,completo,35,6,1.03884
21595,26,completo,36,5,1.07126
21596,26,completo,37,7,1.06237
21597,26,completo,38,5,1.06652
21598,26,completo,39,6,1.14722
21599,26,completo,40,6,0.996938
21600,27,arbol,1,0,0.11803
21601,27,arbol,2,1,0.158149
21602,27,arbol,3,0,0.129055
21603,27,arbol,4,9,0.415619
21604,27,arbol,5,6,0.316627
21605,27,arbol,6,0,0.226413
21606,27,arbol,7,3,0.26063
21607,27,arbol,8,3,0.269418
21608,27,arbol,9,2,0.287757
21609,27,arbol,10,10,0.458365
21610,27,arbol,11,1,0.309657
21611,27,arbol,12,0,0.396136
21612,27,arbol,13,11,0.720716
21613,27,arbol,14,0,1.08432
21614,27,arbol,15,0,0.535937
21615,27,arbol,16,0,0.530671
21616,27,arbol,17,11,0.883766
21617,27,arbol,18,6,0.625348
21618,27,arbol,19,4,0.59094
21619,27,arbol,20,8,7.15848
21620,27,arbol,21,0,0.47837
21621,27,arbol,22,1,0.723624
